"Método de ordenação","Tempo da primeira execução (ms)","Tempo da segunda execução (ms)","Tempo da terceira execução (ms)","Tempo da quarta execução (ms)","Tempo da quinta execução (ms)","Média aritmética"
"Método da bolha","909.534","878.309","834.787","834.315","836.069","858.602,8"
"Método de ordenação por seleção","337.137","337.723","338.513","337.388","338.154","337.783"
"Método de ordenação por inserção","2,293","2,305","2,291","2,29","2,562","2,348"
"Método de ordenação por intercalação","29,35","29,39","29,4","29,38","29,38","29,38"
"Método de ordenação por separação","37,988","37,93","37,921","38,248","38,522","38,122"
"Método de ordenação por monte","123.007","122.900","122.967","123.183","124.238","123.259"
