Método de ordenação,Tempo da primeira execução (ms),Tempo da segunda execução (ms),Tempo da terceira execução (ms),Tempo da quarta execução (ms),Tempo da quinta execução (ms),Média aritmética
Bubble(Bolha),4502256,4510216,4513697,4514132,4592371,"4526534,4"
Selection(Seleção),1511577,1511953,1512914,1511237,1513202,"1512176,6"
Inserction(Inserção),647174,646310,646873,647345,647015,"646943,4"
Merge(Intercalação),277518,276160,276019,274165,275988,275970
Quick(Rápida),"167,242","156,977","152,542","153,709","154,421","156,978"
Heap(Pilha),934047,945806,1150846,944001,1041968,"1003333,6"
