Método de ordenação,Tempo da primeira execução (ms),Tempo da segunda execução (ms),Tempo da terceira execução (ms),Tempo da quarta execução (ms),Tempo da quinta execução (ms),Média aritmética
Bubble(Bolha),831713,817543,842896,844194,838802,"835029,6"
Selection(Seleção),409835,418584,410533,409581,405091,"410724,8"
Inserction(Inserção),"264,015","264,011","280,632","263,957","266,232","267,769"
Merge(Intercalação),"29,9","29,91","29,87","29,86","29,88","29,884"
Quick(Rápida),"46,766","46,467","47,105","47,573","46,796","46,941"
Heap(Pilha),123191,123143,123206,122988,123012,123108
